Movie,TrackType,Codec,DurationSec
"Die Highligen Drei Könige (2015).mkv",audio,,1.48
"ALL",prescan,ffprobe,0.65
"Black Swan (2010).mkv",audio,,1.90
"Black Swan (2010).mkv",audio,,1.67
"Lord Of War.mkv",audio,,1.48
"ALL",prescan,ffprobe,0.61
"Perfume The Story Of A Murderer (2006).mkv",subtitle,hdmv_pgs_subtitle,12.90
"Perfume The Story Of A Murderer (2006).mkv",subtitle,hdmv_pgs_subtitle,8.40
"Perfume The Story Of A Murderer (2006).mkv",subtitle,hdmv_pgs_subtitle,9.59
"Perfume The Story Of A Murderer (2006).mkv",subtitle,hdmv_pgs_subtitle,10.03
"Perfume The Story Of A Murderer (2006).mkv",subtitle,hdmv_pgs_subtitle,11.10
"Perfume The Story Of A Murderer (2006).mkv",subtitle,hdmv_pgs_subtitle,7.72
"Perfume The Story Of A Murderer (2006).mkv",subtitle,hdmv_pgs_subtitle,6.41
"Perfume The Story Of A Murderer (2006).mkv",audio,,2.96
"Perfume The Story Of A Murderer (2006).mkv",audio,,1.58
"Prestige - Meister der Magie (2006).mkv",subtitle,subrip,0.02
"Prestige - Meister der Magie (2006).mkv",subtitle,subrip,0.02
"Prestige - Meister der Magie (2006).mkv",subtitle,hdmv_pgs_subtitle,12.28
"Prestige - Meister der Magie (2006).mkv",subtitle,hdmv_pgs_subtitle,11.64
"Prestige - Meister der Magie (2006).mkv",subtitle,hdmv_pgs_subtitle,10.59
"Prestige - Meister der Magie (2006).mkv",subtitle,hdmv_pgs_subtitle,12.44
"Prestige - Meister der Magie (2006).mkv",subtitle,hdmv_pgs_subtitle,10.06
"Prestige - Meister der Magie (2006).mkv",subtitle,hdmv_pgs_subtitle,11.92
"ALL",prescan,ffprobe,0.05
"Shape of Water - Das Flüstern des Wassers (2017).mkv",subtitle,subrip,0.01
"Shape of Water - Das Flüstern des Wassers (2017).mkv",subtitle,hdmv_pgs_subtitle,9.08
"Shape of Water - Das Flüstern des Wassers (2017).mkv",subtitle,hdmv_pgs_subtitle,8.06
"Shape of Water - Das Flüstern des Wassers (2017).mkv",audio,,2.19
"Shape of Water - Das Flüstern des Wassers (2017).mkv",audio,,1.78
"Shape of Water - Das Flüstern des Wassers (2017).mkv",muxing,,12.43
"ALL",prescan,ffprobe,0.05
"Das ist das Ende.mkv",audio,,2.31
"ALL",prescan,ffprobe,0.07
"Black Swan (2010).mkv",audio,,1.94
"Black Swan (2010).mkv",audio,,1.21
